cod_mpio,cod_dpto,nom_mpio,n_sedes,n_sedes_ese
52696,52,SANTA BÁRBARA,9,6
52699,52,SANTACRUZ,10,6
52720,52,SAPUYES,4,3
52786,52,TAMINANGO,21,6
52788,52,TANGUA,7,3
52835,52,SAN ANDRÉS DE TUMACO,0,0
52838,52,TÚQUERRES,41,0
52885,52,YACUANQUER,10,4
54001,54,SAN JOSÉ DE CÚCUTA,0,0
54003,54,ÁBREGO,17,4
54051,54,ARBOLEDAS,9,3
54099,54,BOCHALEMA,3,2
54109,54,BUCARASICA,3,3
54125,54,CÁCOTA,1,1
54128,54,CÁCHIRA,5,2
54172,54,CHINÁCOTA,18,1
54174,54,CHITAGÁ,7,1
54206,54,CONVENCIÓN,5,3
54223,54,CUCUTILLA,2,1
54239,54,DURANIA,1,1
54245,54,EL CARMEN,3,2
54250,54,EL TARRA,9,4
54261,54,EL ZULIA,14,2
54313,54,GRAMALOTE,4,1
54344,54,HACARÍ,1,1
54347,54,HERRÁN,1,1
54377,54,LABATECA,2,1
54385,54,LA ESPERANZA,2,2
54398,54,LA PLAYA,5,3
54405,54,LOS PATIOS,61,3
54418,54,LOURDES,3,1
54480,54,MUTISCUA,1,1
54498,54,OCAÑA,221,10
54518,54,PAMPLONA,103,1
54520,54,PAMPLONITA,1,1
54553,54,PUERTO SANTANDER,4,1
54599,54,RAGONVALIA,3,1
54660,54,SALAZAR,10,3
54670,54,SAN CALIXTO,1,1
54673,54,SAN CAYETANO,3,2
54680,54,SANTIAGO,2,1
54720,54,SARDINATA,12,5
54743,54,SILOS,1,1
54800,54,TEORAMA,5,3
54810,54,TIBÚ,20,6
54820,54,TOLEDO,12,4
54871,54,VILLA CARO,2,1
54874,54,VILLA DEL ROSARIO,43,7
63001,63,ARMENIA,1062,11
63111,63,BUENAVISTA,1,1
63130,63,CALARCÁ,53,6
63190,63,CIRCASIA,28,1
63212,63,CÓRDOBA,1,1
63272,63,FILANDIA,15,3
63302,63,GÉNOVA,3,1
63401,63,LA TEBAIDA,22,1
63470,63,MONTENEGRO,16,2
63548,63,PIJAO,1,1
63594,63,QUIMBAYA,36,1
63690,63,SALENTO,3,2
66001,66,PEREIRA,1540,23
66045,66,APÍA,4,2
66075,66,BALBOA,1,1
66088,66,BELÉN DE UMBRÍA,12,1
66170,66,DOSQUEBRADAS,110,6
66318,66,GUÁTICA,5,1
66383,66,LA CELIA,2,1
66400,66,LA VIRGINIA,25,1
66440,66,MARSELLA,8,1
66456,66,MISTRATÓ,8,6
66572,66,PUEBLO RICO,4,3
66594,66,QUINCHÍA,13,2
66682,66,SANTA ROSA DE CABAL,66,1
66687,66,SANTUARIO,4,1
68001,68,BUCARAMANGA,1535,27
68013,68,AGUADA,1,1
68020,68,ALBANIA,1,1
68051,68,ARATOCA,2,1
68077,68,BARBOSA,64,1
68079,68,BARICHARA,5,1
68081,68,BARRANCABERMEJA,320,12
68092,68,BETULIA,3,2
68101,68,BOLÍVAR,6,1
68121,68,CABRERA,1,1
68132,68,CALIFORNIA,2,1
68147,68,CAPITANEJO,4,1
68152,68,CARCASÍ,1,1
68160,68,CEPITÁ,1,1
68162,68,CERRITO,2,1
68167,68,CHARALÁ,7,2
68169,68,CHARTA,1,1
68176,68,CHIMA,1,1
68179,68,CHIPATÁ,1,1
68190,68,CIMITARRA,22,3
68207,68,CONCEPCIÓN,1,1
68209,68,CONFINES,1,1
68211,68,CONTRATACIÓN,5,3
68217,68,COROMORO,2,2
68229,68,CURITÍ,1,1
68235,68,EL CARMEN DE CHUCURÍ,14,9
68245,68,EL GUACAMAYO,1,1
68250,68,EL PEÑÓN,1,1
68255,68,EL PLAYÓN,8,6
68264,68,ENCINO,1,1
68266,68,ENCISO,1,1
68271,68,FLORIÁN,1,1
68276,68,FLORIDABLANCA,532,8
68296,68,GALÁN,1,1
68298,68,GÁMBITA,1,1
68307,68,GIRÓN,80,4
68318,68,GUACA,3,1
68320,68,GUADALUPE,1,1
68322,68,GUAPOTÁ,1,1
68324,68,GUAVATÁ,2,1
68327,68,GÜEPSA,3,1
68344,68,HATO,1,1
68368,68,JESÚS MARÍA,3,1
68370,68,JORDÁN,1,1
68377,68,LA BELLEZA,2,1
68385,68,LANDÁZURI,4,1
68397,68,LA PAZ,1,1
68406,68,LEBRIJA,22,1
68418,68,LOS SANTOS,8,2
68425,68,MACARAVITA,1,1
68432,68,MÁLAGA,34,1
68444,68,MATANZA,2,1
68464,68,MOGOTES,3,1
68468,68,MOLAGAVITA,1,1
68498,68,OCAMONTE,1,1
68500,68,OIBA,13,1
68502,68,ONZAGA,1,1
68522,68,PALMAR,1,1
68524,68,PALMAS DEL SOCORRO,1,1
68533,68,PÁRAMO,2,1
68547,68,PIEDECUESTA,382,2
68549,68,PINCHOTE,1,1
68572,68,PUENTE NACIONAL,18,1
68573,68,PUERTO PARRA,3,1
68575,68,PUERTO WILCHES,17,1
68615,68,RIONEGRO,9,2
68655,68,SABANA DE TORRES,19,1
68669,68,SAN ANDRÉS,6,1
68673,68,SAN BENITO,1,1
68679,68,SAN GIL,139,2
68682,68,SAN JOAQUÍN,1,1
68684,68,SAN JOSÉ DE MIRANDA,1,1
68686,68,SAN MIGUEL,1,1
68689,68,SAN VICENTE DE CHUCURÍ,11,2
68705,68,SANTA BÁRBARA,1,1
68720,68,SANTA HELENA DEL OPÓN,1,1
68745,68,SIMACOTA,4,3
68755,68,SOCORRO,51,1
68770,68,SUAITA,4,1
68773,68,SUCRE,5,4
68780,68,SURATÁ,1,1
68820,68,TONA,2,2
68855,68,VALLE DE SAN JOSÉ,3,1
68861,68,VÉLEZ,19,1
68867,68,VETAS,1,1
68872,68,VILLANUEVA,5,1
68895,68,ZAPATOCA,6,1
70001,70,SINCELEJO,513,22
70110,70,BUENAVISTA,9,1
70124,70,CAIMITO,4,1
70204,70,COLOSÓ,3,1
70215,70,COROZAL,68,4
70221,70,COVEÑAS,16,0
70230,70,CHALÁN,4,0
70233,70,EL ROBLE,4,1
70235,70,GALERAS,8,1
70265,70,GUARANDA,7,1
70400,70,LA UNIÓN,5,1
70418,70,LOS PALMITOS,8,1
70429,70,MAJAGUAL,13,1
70473,70,MORROA,10,4
70508,70,OVEJAS,16,6
70523,70,PALMITO,5,1
70670,70,SAMPUÉS,19,2
70678,70,SAN BENITO ABAD,16,4
70702,70,SAN JUAN DE BETULIA,4,1
70708,70,SAN MARCOS,33,3
70713,70,SAN ONOFRE,25,7
70717,70,SAN PEDRO,14,1
70742,70,SAN LUIS DE SINCÉ,0,0
70771,70,SUCRE,9,1
70820,70,SANTIAGO DE TOLÚ,20,1
70823,70,SAN JOSÉ DE TOLUVIEJO,0,0
73001,73,IBAGUÉ,1145,35
73024,73,ALPUJARRA,1,1
73026,73,ALVARADO,2,1
73030,73,AMBALEMA,2,1
73043,73,ANZOÁTEGUI,1,1
73055,73,ARMERO,7,1
73067,73,ATACO,6,6
73124,73,CAJAMARCA,6,2
73148,73,CARMEN DE APICALÁ,5,1
73152,73,CASABIANCA,2,2
73168,73,CHAPARRAL,36,2
73200,73,COELLO,1,1
73217,73,COYAIMA,5,2
73226,73,CUNDAY,3,3
73236,73,DOLORES,11,5
73268,73,ESPINAL,107,3
73270,73,FALAN,1,1
73275,73,FLANDES,3,1
73283,73,FRESNO,26,1
73319,73,GUAMO,22,1
73347,73,HERVEO,8,5
73349,73,HONDA,17,1
73352,73,ICONONZO,11,6
73408,73,LÉRIDA,14,2
73411,73,LÍBANO,28,4
73443,73,SAN SEBASTIÁN DE MARIQUITA,0,0
73449,73,MELGAR,34,1
73461,73,MURILLO,1,1
73483,73,NATAGAIMA,5,1
73504,73,ORTEGA,5,1
73520,73,PALOCABILDO,3,1
73547,73,PIEDRAS,2,2
73555,73,PLANADAS,11,3
73563,73,PRADO,3,1
73585,73,PURIFICACIÓN,11,1
73616,73,RIOBLANCO,15,12
73622,73,RONCESVALLES,1,1
73624,73,ROVIRA,13,2
73671,73,SALDAÑA,10,1
73675,73,SAN ANTONIO,4,2
73678,73,SAN LUIS,3,2
73686,73,SANTA ISABEL,1,1
73770,73,SUÁREZ,1,1
73854,73,VALLE DE SAN JUAN,1,1
73861,73,VENADILLO,6,1
73870,73,VILLAHERMOSA,1,1
73873,73,VILLARRICA,2,1
76001,76,SANTIAGO DE CALI,0,0
76020,76,ALCALÁ,5,1
76036,76,ANDALUCÍA,15,5
76041,76,ANSERMANUEVO,3,1
76054,76,ARGELIA,1,1
76100,76,BOLÍVAR,13,10
76109,76,BUENAVENTURA,183,20
76111,76,GUADALAJARA DE BUGA,220,8
76113,76,BUGALAGRANDE,16,2
76122,76,CAICEDONIA,32,11
76126,76,CALIMA,7,1
76130,76,CANDELARIA,62,7
76147,76,CARTAGO,275,11
76233,76,DAGUA,23,5
76243,76,EL ÁGUILA,1,1
76246,76,EL CAIRO,2,1
76248,76,EL CERRITO,56,12
76250,76,EL DOVIO,1,1
76275,76,FLORIDA,50,4
76306,76,GINEBRA,10,1
76318,76,GUACARÍ,26,5
76364,76,JAMUNDÍ,163,1
76377,76,LA CUMBRE,4,1
76400,76,LA UNIÓN,41,1
76403,76,LA VICTORIA,6,1
76497,76,OBANDO,2,1
76520,76,PALMIRA,537,36
76563,76,PRADERA,28,2
76606,76,RESTREPO,9,2
76616,76,RIOFRÍO,4,2
76622,76,ROLDANILLO,70,9
76670,76,SAN PEDRO,4,1
76736,76,SEVILLA,31,2
76823,76,TORO,5,1
76828,76,TRUJILLO,4,1
76834,76,TULUÁ,383,19
76845,76,ULLOA,1,1
76863,76,VERSALLES,1,1
76869,76,VIJES,4,2
76890,76,YOTOCO,9,6
76892,76,YUMBO,102,9
76895,76,ZARZAL,58,6
81001,81,ARAUCA,123,10
81065,81,ARAUQUITA,32,9
81220,81,CRAVO NORTE,1,1
81300,81,FORTUL,22,6
81591,81,PUERTO RONDÓN,3,1
81736,81,SARAVENA,76,10
81794,81,TAME,85,12
85001,85,YOPAL,338,10
85010,85,AGUAZUL,44,2
85015,85,CHÁMEZA,2,1
85125,85,HATO COROZAL,5,1
85136,85,LA SALINA,1,1
85139,85,MANÍ,10,1
85162,85,MONTERREY,14,1
85225,85,NUNCHÍA,2,1
85230,85,OROCUÉ,4,1
85250,85,PAZ DE ARIPORO,37,1
85263,85,PORE,5,1
85279,85,RECETOR,1,1
85300,85,SABANALARGA,3,1
85315,85,SÁCAMA,1,1
85325,85,SAN LUIS DE PALENQUE,1,1
85400,85,TÁMARA,3,1
85410,85,TAURAMENA,24,1
85430,85,TRINIDAD,9,2
85440,85,VILLANUEVA,41,1
86001,86,MOCOA,93,2
86219,86,COLÓN,5,2
86320,86,ORITO,27,4
86568,86,PUERTO ASÍS,50,5
86569,86,PUERTO CAICEDO,8,2
86571,86,PUERTO GUZMÁN,4,1
86573,86,PUERTO LEGUÍZAMO,0,0
86749,86,SIBUNDOY,24,1
86755,86,SAN FRANCISCO,3,1
86757,86,SAN MIGUEL,8,2
86760,86,SANTIAGO,3,1
86865,86,VALLE DEL GUAMUEZ,42,4
86885,86,VILLAGARZÓN,19,3
88001,88,SAN ANDRÉS,0,0
88564,88,PROVIDENCIA,0,0
91001,91,LETICIA,57,1
91263,91,EL ENCANTO,1,1
91405,91,LA CHORRERA,1,1
91407,91,LA PEDRERA,1,1
91430,91,LA VICTORIA,1,1
91460,91,MIRITÍ - PARANÁ,1,1
91530,91,PUERTO ALEGRÍA,1,1
91536,91,PUERTO ARICA,1,1
91540,91,PUERTO NARIÑO,1,1
91669,91,PUERTO SANTANDER,1,1
91798,91,TARAPACÁ,1,1
94001,94,INÍRIDA,35,11
94343,94,BARRANCOMINAS,0,0
94883,94,SAN FELIPE,1,1
94884,94,PUERTO COLOMBIA,2,2
94885,94,LA GUADALUPE,1,1
94886,94,CACAHUAL,1,1
94887,94,PANA PANA,1,1
94888,94,MORICHAL,1,1
95001,95,SAN JOSÉ DEL GUAVIARE,86,9
95015,95,CALAMAR,4,1
95025,95,EL RETORNO,5,1
95200,95,MIRAFLORES,1,1
97001,97,MITÚ,37,30
97161,97,CARURÚ,5,5
97511,97,PACOA,10,10
97666,97,TARAIRA,4,4
97777,97,PAPUNAHUA,0,0
97889,97,YAVARATÉ,5,5
99001,99,PUERTO CARREÑO,24,1
99524,99,LA PRIMAVERA,5,1
99624,99,SANTA ROSALÍA,2,1
99773,99,CUMARIBO,4,1
