cod_mpio,cod_dpto,nom_mpio,n_sedes,n_sedes_ese
13600,13,RÍO VIEJO,4,1
13620,13,SAN CRISTÓBAL,6,2
13647,13,SAN ESTANISLAO,6,2
13650,13,SAN FERNANDO,2,2
13654,13,SAN JACINTO,11,2
13655,13,SAN JACINTO DEL CAUCA,3,2
13657,13,SAN JUAN NEPOMUCENO,21,5
13667,13,SAN MARTÍN DE LOBA,8,3
13670,13,SAN PABLO,15,4
13673,13,SANTA CATALINA,5,3
13683,13,SANTA ROSA,7,2
13688,13,SANTA ROSA DEL SUR,54,11
13744,13,SIMITÍ,7,1
13760,13,SOPLAVIENTO,5,1
13780,13,TALAIGUA NUEVO,5,1
13810,13,TIQUISIO,7,3
13836,13,TURBACO,60,4
13838,13,TURBANÁ,5,1
13873,13,VILLANUEVA,10,3
13894,13,ZAMBRANO,8,2
15001,15,TUNJA,706,14
15022,15,ALMEIDA,1,1
15047,15,AQUITANIA,3,1
15051,15,ARCABUCO,3,1
15087,15,BELÉN,7,1
15090,15,BERBEO,1,1
15092,15,BETÉITIVA,1,1
15097,15,BOAVITA,2,1
15104,15,BOYACÁ,1,1
15106,15,BRICEÑO,1,1
15109,15,BUENAVISTA,1,1
15114,15,BUSBANZÁ,1,1
15131,15,CALDAS,1,1
15135,15,CAMPOHERMOSO,1,1
15162,15,CERINZA,1,1
15172,15,CHINAVITA,2,1
15176,15,CHIQUINQUIRÁ,103,2
15180,15,CHISCAS,1,1
15183,15,CHITA,1,1
15185,15,CHITARAQUE,2,1
15187,15,CHIVATÁ,2,1
15189,15,CIÉNEGA,1,1
15204,15,CÓMBITA,3,1
15212,15,COPER,1,1
15215,15,CORRALES,1,1
15218,15,COVARACHÍA,1,1
15223,15,CUBARÁ,5,1
15224,15,CUCAITA,1,1
15226,15,CUÍTIVA,1,1
15232,15,CHÍQUIZA,1,1
15236,15,CHIVOR,1,1
15238,15,DUITAMA,321,3
15244,15,EL COCUY,2,1
15248,15,EL ESPINO,1,1
15272,15,FIRAVITOBA,2,1
15276,15,FLORESTA,2,1
15293,15,GACHANTIVÁ,1,1
15296,15,GÁMEZA,1,1
15299,15,GARAGOA,25,2
15317,15,GUACAMAYAS,1,1
15322,15,GUATEQUE,19,1
15325,15,GUAYATÁ,1,1
15332,15,GÜICÁN DE LA SIERRA,0,0
15362,15,IZA,1,1
15367,15,JENESANO,11,1
15368,15,JERICÓ,1,1
15377,15,LABRANZAGRANDE,1,1
15380,15,LA CAPILLA,1,1
15401,15,LA VICTORIA,1,1
15403,15,LA UVITA,4,1
15407,15,VILLA DE LEYVA,41,1
