cod_dpto,dpto,cod_mpio,nom_mpio,tipo_municipio,longitud,latitud,llave_norm
05,ANTIOQUIA,05353,HISPANIA,Municipio,,,ANTIOQUIA|HISPANIA
05,ANTIOQUIA,05360,ITAGÜÍ,Municipio,,,ANTIOQUIA|ITAGUI
05,ANTIOQUIA,05361,ITUANGO,Municipio,,,ANTIOQUIA|ITUANGO
05,ANTIOQUIA,05364,JARDÍN,Municipio,,,ANTIOQUIA|JARDIN
05,ANTIOQUIA,05368,JERICÓ,Municipio,,,ANTIOQUIA|JERICO
05,ANTIOQUIA,05376,LA CEJA,Municipio,,,ANTIOQUIA|LA CEJA
05,ANTIOQUIA,05380,LA ESTRELLA,Municipio,,,ANTIOQUIA|LA ESTRELLA
05,ANTIOQUIA,05390,LA PINTADA,Municipio,,,ANTIOQUIA|LA PINTADA
05,ANTIOQUIA,05400,LA UNIÓN,Municipio,,,ANTIOQUIA|LA UNION
05,ANTIOQUIA,05411,LIBORINA,Municipio,,,ANTIOQUIA|LIBORINA
05,ANTIOQUIA,05425,MACEO,Municipio,,,ANTIOQUIA|MACEO
05,ANTIOQUIA,05440,MARINILLA,Municipio,,,ANTIOQUIA|MARINILLA
05,ANTIOQUIA,05467,MONTEBELLO,Municipio,,,ANTIOQUIA|MONTEBELLO
05,ANTIOQUIA,05475,MURINDÓ,Municipio,,,ANTIOQUIA|MURINDO
05,ANTIOQUIA,05480,MUTATÁ,Municipio,,,ANTIOQUIA|MUTATA
05,ANTIOQUIA,05483,NARIÑO,Municipio,,,ANTIOQUIA|NARINO
05,ANTIOQUIA,05490,NECOCLÍ,Municipio,,,ANTIOQUIA|NECOCLI
05,ANTIOQUIA,05495,NECHÍ,Municipio,,,ANTIOQUIA|NECHI
05,ANTIOQUIA,05501,OLAYA,Municipio,,,ANTIOQUIA|OLAYA
05,ANTIOQUIA,05541,PEÑOL,Municipio,,,ANTIOQUIA|PENOL
05,ANTIOQUIA,05543,PEQUE,Municipio,,,ANTIOQUIA|PEQUE
05,ANTIOQUIA,05576,PUEBLORRICO,Municipio,,,ANTIOQUIA|PUEBLORRICO
05,ANTIOQUIA,05579,PUERTO BERRÍO,Municipio,,,ANTIOQUIA|PUERTO BERRIO
05,ANTIOQUIA,05585,PUERTO NARE,Municipio,,,ANTIOQUIA|PUERTO NARE
05,ANTIOQUIA,05591,PUERTO TRIUNFO,Municipio,,,ANTIOQUIA|PUERTO TRIUNFO
05,ANTIOQUIA,05604,REMEDIOS,Municipio,,,ANTIOQUIA|REMEDIOS
05,ANTIOQUIA,05607,RETIRO,Municipio,,,ANTIOQUIA|RETIRO
05,ANTIOQUIA,05615,RIONEGRO,Municipio,,,ANTIOQUIA|RIONEGRO
05,ANTIOQUIA,05628,SABANALARGA,Municipio,,,ANTIOQUIA|SABANALARGA
05,ANTIOQUIA,05631,SABANETA,Municipio,,,ANTIOQUIA|SABANETA
05,ANTIOQUIA,05642,SALGAR,Municipio,,,ANTIOQUIA|SALGAR
05,ANTIOQUIA,05647,SAN ANDRÉS DE CUERQUÍA,Municipio,,,ANTIOQUIA|SAN ANDRES DE CUERQUIA
05,ANTIOQUIA,05649,SAN CARLOS,Municipio,,,ANTIOQUIA|SAN CARLOS
05,ANTIOQUIA,05652,SAN FRANCISCO,Municipio,,,ANTIOQUIA|SAN FRANCISCO
05,ANTIOQUIA,05656,SAN JERÓNIMO,Municipio,,,ANTIOQUIA|SAN JERONIMO
05,ANTIOQUIA,05658,SAN JOSÉ DE LA MONTAÑA,Municipio,,,ANTIOQUIA|SAN JOSE DE LA MONTANA
05,ANTIOQUIA,05659,SAN JUAN DE URABÁ,Municipio,,,ANTIOQUIA|SAN JUAN DE URABA
05,ANTIOQUIA,05660,SAN LUIS,Municipio,,,ANTIOQUIA|SAN LUIS
05,ANTIOQUIA,05664,SAN PEDRO DE LOS MILAGROS,Municipio,,,ANTIOQUIA|SAN PEDRO DE LOS MILAGROS
05,ANTIOQUIA,05665,SAN PEDRO DE URABÁ,Municipio,,,ANTIOQUIA|SAN PEDRO DE URABA
05,ANTIOQUIA,05667,SAN RAFAEL,Municipio,,,ANTIOQUIA|SAN RAFAEL
05,ANTIOQUIA,05670,SAN ROQUE,Municipio,,,ANTIOQUIA|SAN ROQUE
05,ANTIOQUIA,05674,SAN VICENTE FERRER,Municipio,,,ANTIOQUIA|SAN VICENTE FERRER
05,ANTIOQUIA,05679,SANTA BÁRBARA,Municipio,,,ANTIOQUIA|SANTA BARBARA
05,ANTIOQUIA,05686,SANTA ROSA DE OSOS,Municipio,,,ANTIOQUIA|SANTA ROSA DE OSOS
