cod_mpio,cod_dpto,nom_mpio,n_resguardos,pob_resguardos,n_comunidades
15842,15,ÚMBITA,0,0,0
15861,15,VENTAQUEMADA,0,0,0
15879,15,VIRACACHÁ,0,0,0
15897,15,ZETAQUIRA,0,0,0
17001,17,MANIZALES,0,0,0
17013,17,AGUADAS,0,0,0
17042,17,ANSERMA,0,0,1
17050,17,ARANZAZU,0,0,0
17088,17,BELALCÁZAR,1,188,0
17174,17,CHINCHINÁ,0,0,0
17272,17,FILADELFIA,0,0,2
17380,17,LA DORADA,0,0,0
17388,17,LA MERCED,0,0,0
17433,17,MANZANARES,0,0,0
17442,17,MARMATO,0,0,1
17444,17,MARQUETALIA,0,0,0
17446,17,MARULANDA,0,0,0
17486,17,NEIRA,0,0,0
17495,17,NORCASIA,0,0,0
17513,17,PÁCORA,0,0,0
17524,17,PALESTINA,0,0,1
17541,17,PENSILVANIA,0,0,0
17614,17,RIOSUCIO,4,24735,0
17616,17,RISARALDA,1,260,0
17653,17,SALAMINA,0,0,0
17662,17,SAMANÁ,0,0,0
17665,17,SAN JOSÉ,1,161,0
17777,17,SUPÍA,2,5429,2
17867,17,VICTORIA,0,0,0
17873,17,VILLAMARÍA,0,0,0
17877,17,VITERBO,0,0,0
18001,18,FLORENCIA,3,256,0
18029,18,ALBANIA,1,117,0
18094,18,BELÉN DE LOS ANDAQUÍES,3,258,0
18150,18,CARTAGENA DEL CHAIRÁ,0,0,0
18205,18,CURILLO,1,22,0
18247,18,EL DONCELLO,0,0,0
18256,18,EL PAUJÍL,0,0,0
18410,18,LA MONTAÑITA,1,45,0
18460,18,MILÁN,8,1779,0
18479,18,MORELIA,0,0,0
18592,18,PUERTO RICO,4,460,2
18610,18,SAN JOSÉ DEL FRAGUA,5,264,1
18753,18,SAN VICENTE DEL CAGUÁN,3,237,0
18756,18,SOLANO,20,1227,1
18785,18,SOLITA,1,150,0
18860,18,VALPARAÍSO,0,0,0
19001,19,POPAYÁN,4,1573,1
19022,19,ALMAGUER,1,3625,0
19050,19,ARGELIA,0,0,0
19075,19,BALBOA,0,0,0
19100,19,BOLÍVAR,1,860,0
19110,19,BUENOS AIRES,4,4861,3
19130,19,CAJIBÍO,2,1145,2
19137,19,CALDONO,6,24340,1
19142,19,CALOTO,4,9763,0
19212,19,CORINTO,1,1763,0
19256,19,EL TAMBO,2,3569,1
19290,19,FLORENCIA,0,0,0
19300,19,GUACHENÉ,0,0,0
19318,19,GUAPI,1,132,1
19355,19,INZÁ,6,11317,2
19364,19,JAMBALÓ,1,13970,0
19392,19,LA SIERRA,2,1068,4
19397,19,LA VEGA,2,8888,3
19418,19,LÓPEZ DE MICAY,5,1611,1
19450,19,MERCADERES,0,0,0
19455,19,MIRANDA,1,2924,0
19473,19,MORALES,6,18474,3
19513,19,PADILLA,1,365,0
19517,19,PÁEZ,16,33121,1
19532,19,PATÍA,0,0,0
19533,19,PIAMONTE,7,649,8
19548,19,PIENDAMÓ - TUNÍA,3,976,0
19573,19,PUERTO TEJADA,0,0,0
19585,19,PURACÉ,4,9956,0
19622,19,ROSAS,0,0,1
19693,19,SAN SEBASTIÁN,2,3427,1
19698,19,SANTANDER DE QUILICHAO,6,18083,2
19701,19,SANTA ROSA,4,787,1
19743,19,SILVIA,7,29873,0
19760,19,SOTARÁ - PAISPAMBA,0,0,0
19780,19,SUÁREZ,1,3941,1
19785,19,SUCRE,0,0,0
19807,19,TIMBÍO,1,607,1
19809,19,TIMBIQUÍ,4,3036,0
19821,19,TORIBÍO,3,30729,0
19824,19,TOTORÓ,6,15478,0
19845,19,VILLA RICA,0,0,0
20001,20,VALLEDUPAR,3,16528,1
20011,20,AGUACHICA,0,0,0
20013,20,AGUSTÍN CODAZZI,2,1102,0
20032,20,ASTREA,0,0,0
20045,20,BECERRIL,2,1804,0
20060,20,BOSCONIA,0,0,0
