cod_mpio,cod_dpto,nom_mpio,poblacion,afiliados_total,af_subsidiado,af_contributivo,pct_rural_afiliados,fuente
05628,05,SABANALARGA,7594,7594,6873.0,721.0,62.734,bdua
05631,05,SABANETA,101418,101418,17096.0,84322.0,1.927,bdua
05642,05,SALGAR,14211,14211,12208.0,2003.0,53.986,bdua
05647,05,SAN ANDRÉS DE CUERQUÍA,0,0,,,,bdua
05649,05,SAN CARLOS,13095,13095,10349.0,2746.0,39.343,bdua
05652,05,SAN FRANCISCO,5277,5277,4790.0,487.0,45.594,bdua
05656,05,SAN JERÓNIMO,13312,13312,8342.0,4970.0,43.765,bdua
05658,05,SAN JOSÉ DE LA MONTAÑA,2622,2622,1747.0,875.0,40.16,bdua
05659,05,SAN JUAN DE URABÁ,23203,23203,21282.0,1921.0,52.42,bdua
05660,05,SAN LUIS,13793,13793,10599.0,3194.0,43.935,bdua
05664,05,SAN PEDRO DE LOS MILAGROS,0,0,,,,bdua
05665,05,SAN PEDRO DE URABÁ,32719,32719,30032.0,2687.0,56.729,bdua
05667,05,SAN RAFAEL,13791,13791,10254.0,3537.0,44.913,bdua
05670,05,SAN ROQUE,17726,17726,13918.0,3808.0,50.355,bdua
05674,05,SAN VICENTE FERRER,0,0,,,,bdua
05679,05,SANTA BÁRBARA,17165,17165,12481.0,4684.0,50.906,bdua
05686,05,SANTA ROSA DE OSOS,40045,40045,18022.0,22023.0,27.282,bdua
05690,05,SANTO DOMINGO,7926,7926,6239.0,1687.0,49.975,bdua
05697,05,EL SANTUARIO,0,0,,,,bdua
05736,05,SEGOVIA,44281,44281,30269.0,14012.0,25.681,bdua
05756,05,SONSÓN,31450,31450,24036.0,7414.0,46.095,bdua
05761,05,SOPETRÁN,11853,11853,9223.0,2630.0,46.511,bdua
05789,05,TÁMESIS,13174,13174,8982.0,4192.0,54.737,bdua
05790,05,TARAZÁ,27508,27508,25522.0,1986.0,43.896,bdua
05792,05,TARSO,4665,4665,3063.0,1602.0,42.808,bdua
05809,05,TITIRIBÍ,6421,6421,3377.0,3044.0,49.541,bdua
