departamentodededesc,municipiosededesc,claseprestador,ese,n
Amazonas,EL ENCANTO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,LA CHORRERA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,LA PEDRERA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,LA VICTORIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,LETICIA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,12
Amazonas,LETICIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,LETICIA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Amazonas,LETICIA,Profesional Independiente,NO,42
Amazonas,MIRITI - PARANÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,PUERTO ALEGRÍA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,PUERTO ARICA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,PUERTO NARIÑO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,PUERTO SANTANDER,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,TARAPACÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ABEJORRAL,Instituciones Prestadoras de Servicios de Salud - IPS,SI,4
Antioquia,ABEJORRAL,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,ABEJORRAL,Profesional Independiente,NO,15
Antioquia,ABRIAQUÍ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ALEJANDRÍA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ALEJANDRÍA,Profesional Independiente,NO,1
Antioquia,AMAGÁ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,5
Antioquia,AMAGÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,AMAGÁ,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,AMAGÁ,Profesional Independiente,NO,33
Antioquia,AMALFI,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,AMALFI,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,AMALFI,Profesional Independiente,NO,19
Antioquia,ANDES,Instituciones Prestadoras de Servicios de Salud - IPS,NO,8
Antioquia,ANDES,Instituciones Prestadoras de Servicios de Salud - IPS,SI,7
Antioquia,ANDES,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Antioquia,ANDES,Profesional Independiente,NO,58
Antioquia,ANGELÓPOLIS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ANGELÓPOLIS,Profesional Independiente,NO,2
Antioquia,ANGOSTURA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ANGOSTURA,Profesional Independiente,NO,2
Antioquia,ANORÍ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,ANORÍ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,ANORÍ,Profesional Independiente,NO,11
Antioquia,ANZA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ANZA,Profesional Independiente,NO,3
Antioquia,APARTADÓ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,76
Antioquia,APARTADÓ,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,7
Antioquia,APARTADÓ,Profesional Independiente,NO,138
Antioquia,APARTADÓ,Transporte Especial de Pacientes,NO,1
Antioquia,ARBOLETES,Instituciones Prestadoras de Servicios de Salud - IPS,NO,5
Antioquia,ARBOLETES,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ARBOLETES,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Antioquia,ARBOLETES,Profesional Independiente,NO,11
Antioquia,ARGELIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ARGELIA,Profesional Independiente,NO,1
Antioquia,ARMENIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ARMENIA,Profesional Independiente,NO,1
Antioquia,BARBOSA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,5
Antioquia,BARBOSA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,BARBOSA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,3
Antioquia,BARBOSA,Profesional Independiente,NO,63
Antioquia,BELLO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,84
Antioquia,BELLO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,11
Antioquia,BELLO,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,34
Antioquia,BELLO,Profesional Independiente,NO,439
Antioquia,BELLO,Transporte Especial de Pacientes,NO,1
Antioquia,BELMIRA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,BELMIRA,Profesional Independiente,NO,5
Antioquia,BETANIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,BETANIA,Profesional Independiente,NO,5
Antioquia,BETULIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,BETULIA,Profesional Independiente,NO,6
Antioquia,BRICEÑO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,4
Antioquia,BRICEÑO,Profesional Independiente,NO,3
Antioquia,BURITICÁ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,BURITICÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,BURITICÁ,Profesional Independiente,NO,1
Antioquia,CÁCERES,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,CÁCERES,Profesional Independiente,NO,4
Antioquia,CAICEDO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,CAICEDO,Profesional Independiente,NO,9
Antioquia,CALDAS,Instituciones Prestadoras de Servicios de Salud - IPS,NO,11
Antioquia,CALDAS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,CALDAS,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,10
Antioquia,CALDAS,Profesional Independiente,NO,127
Antioquia,CALDAS,Transporte Especial de Pacientes,NO,1
Antioquia,CAMPAMENTO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,CAMPAMENTO,Profesional Independiente,NO,2
Antioquia,CAÑASGORDAS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,CAÑASGORDAS,Profesional Independiente,NO,5
Antioquia,CARACOLÍ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,CARACOLÍ,Profesional Independiente,NO,1
Antioquia,CARAMANTA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,CARAMANTA,Profesional Independiente,NO,7
Antioquia,CAREPA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,13
Antioquia,CAREPA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,4
Antioquia,CAREPA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,CAREPA,Profesional Independiente,NO,19
Antioquia,CAROLINA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,CAROLINA,Profesional Independiente,NO,3
Antioquia,CAUCASIA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,33
Antioquia,CAUCASIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,CAUCASIA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Antioquia,CAUCASIA,Profesional Independiente,NO,99
Antioquia,CAUCASIA,Transporte Especial de Pacientes,NO,3
Antioquia,CHIGORODÓ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,11
Antioquia,CHIGORODÓ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,CHIGORODÓ,Profesional Independiente,NO,36
Antioquia,CISNEROS,Instituciones Prestadoras de Servicios de Salud - IPS,NO,2
Antioquia,CISNEROS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,CISNEROS,Profesional Independiente,NO,2
Antioquia,CIUDAD BOLÍVAR,Instituciones Prestadoras de Servicios de Salud - IPS,NO,2
Antioquia,CIUDAD BOLÍVAR,Instituciones Prestadoras de Servicios de Salud - IPS,SI,3
Antioquia,CIUDAD BOLÍVAR,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,CIUDAD BOLÍVAR,Profesional Independiente,NO,34
Antioquia,COCORNÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,COCORNÁ,Profesional Independiente,NO,7
Antioquia,CONCEPCIÓN,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,CONCEPCIÓN,Profesional Independiente,NO,5
Antioquia,CONCORDIA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,2
Antioquia,CONCORDIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,CONCORDIA,Profesional Independiente,NO,27
Antioquia,COPACABANA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,9
Antioquia,COPACABANA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,COPACABANA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,7
Antioquia,COPACABANA,Profesional Independiente,NO,120
Antioquia,DABEIBA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,DABEIBA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,DABEIBA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,DABEIBA,Profesional Independiente,NO,10
Antioquia,DON MATÍAS,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,DON MATÍAS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,DON MATÍAS,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Antioquia,DON MATÍAS,Profesional Independiente,NO,32
Antioquia,EBÉJICO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,EBÉJICO,Profesional Independiente,NO,3
Antioquia,EL BAGRE,Instituciones Prestadoras de Servicios de Salud - IPS,NO,4
Antioquia,EL BAGRE,Instituciones Prestadoras de Servicios de Salud - IPS,SI,3
Antioquia,EL BAGRE,Profesional Independiente,NO,18
Antioquia,EL CARMEN DE VIBORAL,Instituciones Prestadoras de Servicios de Salud - IPS,NO,3
Antioquia,EL CARMEN DE VIBORAL,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,EL CARMEN DE VIBORAL,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,5
Antioquia,EL CARMEN DE VIBORAL,Profesional Independiente,NO,129
Antioquia,EL SANTUARIO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,6
Antioquia,EL SANTUARIO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,EL SANTUARIO,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Antioquia,EL SANTUARIO,Profesional Independiente,NO,66
Antioquia,ENTRERRIOS,Instituciones Prestadoras de Servicios de Salud - IPS,NO,2
Antioquia,ENTRERRIOS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ENTRERRIOS,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,ENTRERRIOS,Profesional Independiente,NO,22
Antioquia,ENVIGADO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,97
Antioquia,ENVIGADO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,3
Antioquia,ENVIGADO,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,40
Antioquia,ENVIGADO,Profesional Independiente,NO,788
Antioquia,ENVIGADO,Transporte Especial de Pacientes,NO,1
Antioquia,FREDONIA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,3
Antioquia,FREDONIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,FREDONIA,Profesional Independiente,NO,21
Antioquia,FRONTINO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,FRONTINO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,4
Antioquia,FRONTINO,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,FRONTINO,Profesional Independiente,NO,18
Antioquia,GIRALDO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,GIRALDO,Profesional Independiente,NO,5
Antioquia,GIRARDOTA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,6
Antioquia,GIRARDOTA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,GIRARDOTA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,5
Antioquia,GIRARDOTA,Profesional Independiente,NO,80
Antioquia,GÓMEZ PLATA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,GÓMEZ PLATA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,GÓMEZ PLATA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,GÓMEZ PLATA,Profesional Independiente,NO,5
Antioquia,GRANADA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,GRANADA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,GRANADA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,GRANADA,Profesional Independiente,NO,6
Antioquia,GUADALUPE,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,GUADALUPE,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,GUADALUPE,Profesional Independiente,NO,1
Antioquia,GUARNE,Instituciones Prestadoras de Servicios de Salud - IPS,NO,10
Antioquia,GUARNE,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,GUARNE,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,6
Antioquia,GUARNE,Profesional Independiente,NO,64
Antioquia,GUATAPE,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,GUATAPE,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,GUATAPE,Profesional Independiente,NO,11
Antioquia,HELICONIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,HELICONIA,Profesional Independiente,NO,1
Antioquia,HISPANIA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,HISPANIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,HISPANIA,Profesional Independiente,NO,7
Antioquia,ITAGUI,Instituciones Prestadoras de Servicios de Salud - IPS,NO,51
Antioquia,ITAGUI,Instituciones Prestadoras de Servicios de Salud - IPS,SI,4
Antioquia,ITAGUI,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,27
Antioquia,ITAGUI,Profesional Independiente,NO,387
Antioquia,ITAGUI,Transporte Especial de Pacientes,NO,1
Antioquia,ITUANGO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,ITUANGO,Profesional Independiente,NO,8
Antioquia,JARDÍN,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,JARDÍN,Profesional Independiente,NO,46
Antioquia,JARDÍN,Transporte Especial de Pacientes,NO,1
Antioquia,JERICÓ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,JERICÓ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,JERICÓ,Profesional Independiente,NO,30
Antioquia,LA CEJA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,15
Antioquia,LA CEJA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,LA CEJA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,11
Antioquia,LA CEJA,Profesional Independiente,NO,170
Antioquia,LA ESTRELLA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,9
Antioquia,LA ESTRELLA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,3
Antioquia,LA ESTRELLA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,5
Antioquia,LA ESTRELLA,Profesional Independiente,NO,63
Antioquia,LA PINTADA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,LA PINTADA,Profesional Independiente,NO,3
Antioquia,LA UNIÓN,Instituciones Prestadoras de Servicios de Salud - IPS,NO,7
Antioquia,LA UNIÓN,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,LA UNIÓN,Profesional Independiente,NO,44
Antioquia,LIBORINA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,LIBORINA,Profesional Independiente,NO,1
Antioquia,MACEO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,MACEO,Profesional Independiente,NO,1
Antioquia,MARINILLA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,6
Antioquia,MARINILLA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,MARINILLA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,5
Antioquia,MARINILLA,Profesional Independiente,NO,185
Antioquia,MARINILLA,Transporte Especial de Pacientes,NO,1
Antioquia,MEDELLÍN,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1142
Antioquia,MEDELLÍN,Instituciones Prestadoras de Servicios de Salud - IPS,SI,58
Antioquia,MEDELLÍN,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,281
Antioquia,MEDELLÍN,Profesional Independiente,NO,8560
Antioquia,MEDELLÍN,Transporte Especial de Pacientes,NO,15
Antioquia,MONTEBELLO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,MONTEBELLO,Profesional Independiente,NO,3
Antioquia,MURINDÓ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,MUTATÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,MUTATÁ,Profesional Independiente,NO,1
Antioquia,NARIÑO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,NARIÑO,Profesional Independiente,NO,1
Antioquia,NECHÍ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,NECHÍ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,NECHÍ,Profesional Independiente,NO,4
Antioquia,NECOCLÍ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,9
Antioquia,NECOCLÍ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,8
Antioquia,NECOCLÍ,Profesional Independiente,NO,28
Antioquia,OLAYA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,PEÑOL,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,PEÑOL,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,3
Antioquia,PEÑOL,Profesional Independiente,NO,29
Antioquia,PEQUE,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,PEQUE,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,PEQUE,Profesional Independiente,NO,2
Antioquia,PUEBLORRICO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,PUEBLORRICO,Profesional Independiente,NO,15
Antioquia,PUERTO BERRÍO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,9
Antioquia,PUERTO BERRÍO,Profesional Independiente,NO,34
Antioquia,PUERTO BERRÍO,Transporte Especial de Pacientes,NO,1
Antioquia,PUERTO NARE,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,PUERTO NARE,Profesional Independiente,NO,4
Antioquia,PUERTO TRIUNFO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,3
Antioquia,PUERTO TRIUNFO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,PUERTO TRIUNFO,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,PUERTO TRIUNFO,Profesional Independiente,NO,12
Antioquia,REMEDIOS,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,REMEDIOS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,REMEDIOS,Profesional Independiente,NO,16
Antioquia,RETIRO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,8
Antioquia,RETIRO,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Antioquia,RETIRO,Profesional Independiente,NO,53
Antioquia,RETIRO,Transporte Especial de Pacientes,NO,1
Antioquia,RIONEGRO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,136
Antioquia,RIONEGRO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,3
Antioquia,RIONEGRO,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,20
Antioquia,RIONEGRO,Profesional Independiente,NO,741
Antioquia,RIONEGRO,Transporte Especial de Pacientes,NO,2
Antioquia,SABANALARGA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SABANALARGA,Profesional Independiente,NO,1
Antioquia,SABANETA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,50
Antioquia,SABANETA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SABANETA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,21
Antioquia,SABANETA,Profesional Independiente,NO,328
Antioquia,SABANETA,Transporte Especial de Pacientes,NO,2
Antioquia,SALGAR,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,SALGAR,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SALGAR,Profesional Independiente,NO,17
Antioquia,SAN ANDRÉS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SAN ANDRÉS,Profesional Independiente,NO,5
Antioquia,SAN CARLOS,Instituciones Prestadoras de Servicios de Salud - IPS,NO,2
Antioquia,SAN CARLOS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,SAN CARLOS,Profesional Independiente,NO,9
Antioquia,SAN FRANCISCO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SAN FRANCISCO,Profesional Independiente,NO,2
Antioquia,SAN JERÓNIMO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,SAN JERÓNIMO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SAN JERÓNIMO,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Antioquia,SAN JERÓNIMO,Profesional Independiente,NO,15
Antioquia,SAN JOSÉ DE LA MONTAÑA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SAN JOSÉ DE LA MONTAÑA,Profesional Independiente,NO,2
Antioquia,SAN JUAN DE URABÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SAN JUAN DE URABÁ,Profesional Independiente,NO,10
Antioquia,SAN LUIS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SAN LUIS,Profesional Independiente,NO,17
Antioquia,SAN PEDRO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,4
Antioquia,SAN PEDRO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,3
Antioquia,SAN PEDRO,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,5
Antioquia,SAN PEDRO,Profesional Independiente,NO,45
Antioquia,SAN PEDRO DE URABA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,3
Antioquia,SAN PEDRO DE URABA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SAN PEDRO DE URABA,Profesional Independiente,NO,2
Antioquia,SAN RAFAEL,Instituciones Prestadoras de Servicios de Salud - IPS,NO,4
Antioquia,SAN RAFAEL,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SAN RAFAEL,Profesional Independiente,NO,12
Antioquia,SAN ROQUE,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,SAN ROQUE,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,SAN ROQUE,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,SAN ROQUE,Profesional Independiente,NO,13
Antioquia,SANTA BÁRBARA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SANTA BÁRBARA,Profesional Independiente,NO,10
Antioquia,SANTAFÉ DE ANTIOQUIA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,3
Antioquia,SANTAFÉ DE ANTIOQUIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,3
Antioquia,SANTAFÉ DE ANTIOQUIA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,3
Antioquia,SANTAFÉ DE ANTIOQUIA,Profesional Independiente,NO,39
Antioquia,SANTA ROSA DE OSOS,Instituciones Prestadoras de Servicios de Salud - IPS,NO,6
Antioquia,SANTA ROSA DE OSOS,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Antioquia,SANTA ROSA DE OSOS,Profesional Independiente,NO,56
Antioquia,SANTO DOMINGO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,SANTO DOMINGO,Profesional Independiente,NO,4
Antioquia,SAN VICENTE,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,SAN VICENTE,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,SAN VICENTE,Profesional Independiente,NO,22
Antioquia,SEGOVIA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,6
Antioquia,SEGOVIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,SEGOVIA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,SEGOVIA,Profesional Independiente,NO,42
Antioquia,SONSON,Instituciones Prestadoras de Servicios de Salud - IPS,NO,3
Antioquia,SONSON,Instituciones Prestadoras de Servicios de Salud - IPS,SI,3
Antioquia,SONSON,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,SONSON,Profesional Independiente,NO,49
Antioquia,SOPETRÁN,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,SOPETRÁN,Profesional Independiente,NO,8
Antioquia,TÁMESIS,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,TÁMESIS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,TÁMESIS,Profesional Independiente,NO,14
Antioquia,TARAZÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,TARAZÁ,Profesional Independiente,NO,9
Antioquia,TARSO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,TARSO,Profesional Independiente,NO,4
Antioquia,TITIRIBÍ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,TITIRIBÍ,Profesional Independiente,NO,3
Antioquia,TOLEDO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,TOLEDO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,TOLEDO,Profesional Independiente,NO,3
Antioquia,TURBO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,30
Antioquia,TURBO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,14
Antioquia,TURBO,Profesional Independiente,NO,52
Antioquia,TURBO,Transporte Especial de Pacientes,NO,1
Antioquia,URAMITA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,URAMITA,Profesional Independiente,NO,1
Antioquia,URRAO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,URRAO,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Antioquia,URRAO,Profesional Independiente,NO,65
Antioquia,VALDIVIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
