cod_mpio,cod_dpto,nom_mpio,a_o,poblacion,pct_rural_disperso,fuente
05107,05,BRICEÑO,2017,8029.0,68.277,dane
05107,05,BRICEÑO,2018,8029.0,68.277,dane
05107,05,BRICEÑO,2019,8075.0,67.467,dane
05107,05,BRICEÑO,2020,8149.0,66.622,dane
05107,05,BRICEÑO,2021,8139.0,66.101,dane
05113,05,BURITICÁ,2017,9346.0,76.118,dane
05113,05,BURITICÁ,2018,9346.0,76.118,dane
05113,05,BURITICÁ,2019,9682.0,75.687,dane
05113,05,BURITICÁ,2020,10012.0,75.37,dane
05113,05,BURITICÁ,2021,10234.0,74.927,dane
05120,05,CÁCERES,2017,29014.0,81.499,dane
05120,05,CÁCERES,2018,29014.0,81.499,dane
05120,05,CÁCERES,2019,29152.0,80.447,dane
05120,05,CÁCERES,2020,29307.0,79.462,dane
05120,05,CÁCERES,2021,29325.0,78.885,dane
05125,05,CAICEDO,2017,8297.0,79.993,dane
05125,05,CAICEDO,2018,8297.0,79.993,dane
05125,05,CAICEDO,2019,8509.0,79.445,dane
05125,05,CAICEDO,2020,8705.0,78.989,dane
05125,05,CAICEDO,2021,8785.0,78.657,dane
05129,05,CALDAS,2017,79632.0,20.907,dane
05129,05,CALDAS,2018,79632.0,20.907,dane
05129,05,CALDAS,2019,82011.0,21.147,dane
05129,05,CALDAS,2020,84640.0,21.407,dane
05129,05,CALDAS,2021,85841.0,21.341,dane
05134,05,CAMPAMENTO,2017,9211.0,73.173,dane
05134,05,CAMPAMENTO,2018,9211.0,73.173,dane
05134,05,CAMPAMENTO,2019,9395.0,72.453,dane
05134,05,CAMPAMENTO,2020,9588.0,71.673,dane
05134,05,CAMPAMENTO,2021,9670.0,71.189,dane
05138,05,CAÑASGORDAS,2017,15531.0,67.285,dane
05138,05,CAÑASGORDAS,2018,15531.0,67.285,dane
05138,05,CAÑASGORDAS,2019,15611.0,66.844,dane
05138,05,CAÑASGORDAS,2020,15760.0,66.409,dane
